term,estimate,std.error,statistic,p.value,conf.low,conf.high,term_label
post_type_simpleLive video,0.7493691171292072,0.12939819927021057,-2.2297343025490908,0.025765087183850285,0.576720588102075,0.979707510587336,post_type_simpleLive video
post_type_simplePhoto post,1.9011669215929143,0.09302480601304754,6.906414476338267,4.970563598365122e-12,1.574459684245389,2.2987761576694075,post_type_simplePhoto post
post_type_simpleStatus post,1.3526313391999334,0.1911617936284822,1.5800847531100386,0.11408745849914825,0.9344344908988873,2.012096884983968,post_type_simpleStatus post
post_type_simpleVideo post,1.3133859200458482,0.11558162929754971,2.3585796128758463,0.0183450243210967,1.0440849694054504,1.6635372981709855,post_type_simpleVideo post
weekdayMonday,0.8826051384467318,0.12133754605323809,-1.029173279687292,0.3033982560834915,0.6942637775999938,1.1248925576397657,weekdayMonday
weekdaySaturday,1.3669633222913258,0.1513763117821775,2.064997639973889,0.038923223596635234,1.0166241355402055,1.8584298900605367,weekdaySaturday
weekdaySunday,1.2181310947710802,0.14829787857338045,1.330550352904693,0.1833370076957619,0.9124246686256404,1.644537606599069,weekdaySunday
weekdayThursday,1.043345860061358,0.11442855343814579,0.3708228495905824,0.7107694813253669,0.8311767884565959,1.3095711023093026,weekdayThursday
weekdayTuesday,0.9698592652355725,0.11733663675593092,-0.26082480496324856,0.794227614768652,0.7687776529146663,1.224276488951817,weekdayTuesday
weekdayWednesday,0.8436650669231134,0.11981168002057582,-1.4188909066074524,0.1559308238105133,0.666357847580684,1.0700370478514856,weekdayWednesday
log_followers_at_posting,2.395285706917931,0.030531517455229872,28.609862516832745,5.065431197455326e-180,2.250291992317111,2.550203699983955,Followers at posting (log)
covid_keyword,0.9644577555267013,0.08145312206455713,-0.44429539382323896,0.6568290310248079,0.823344359634627,1.131591036666674,COVID-related post
defensive,1.547632930208606,0.09830620583518196,4.442513248785942,8.891415663069262e-6,1.268152257596507,1.888002453018022,Defensive
excellence,1.146496449140208,0.0979836042079632,1.3952408393821865,0.1629432255147186,0.9359751607396641,1.4043696654086757,Excellence
framing_crisis,0.9659222309222673,0.09341827520045008,-0.3711474465534364,0.710527713479292,0.8054674460208187,1.1606242347662574,Framing the crisis
self_enhancement,1.3138393707021863,0.09955421727775729,2.741758968477658,0.006111116678454563,1.0725939387869527,1.6105408006209978,Self-enhancement
framing_organization,0.8868286910883862,0.09093064133425693,-1.320824823138302,0.18655978081052807,0.7346631261007032,1.071772746250623,Framing the organization
routine_communication,0.974237553418909,0.1171631020830509,-0.22276732121661225,0.8237166028102785,0.7738908664645033,1.2319799017504445,Routine communication
accommodative,0.8726970424891372,0.08700413952615896,-1.56506132329609,0.11756853118499162,0.7337088601018288,1.0387081802383946,Accommodative
interorganizational_relationships,0.8191848608630802,0.08957886987868043,-2.2264793642688456,0.025982089702430617,0.6827005618558318,0.9842058900302587,Interorganizational relationships
action,1.1494182485026698,0.10279496005894401,1.3546962169373726,0.1755143636885247,0.9392019533853018,1.4142584529132727,Action
